Year,Month,Day,Hour,Minute,City,Shape,Summary
2017,4,20,14,15,Palmyra,Other,I observed an aircraft that seemed to look odd.
2017,4,20,4,56,Bridgeview,Light,"Bridgeview, IL, blue light.  ((anonymous report))"
2017,4,19,23,55,Newton,Triangle,Silent triangle UFO.
2017,4,19,23,50,Newton,Triangle,My friend and I stepped outside hoping to catch a glimpse of the asteroid that was passing over. Neither of seen anything at that time.
2017,4,19,23,29,Denver,Light,Moved slow but made quick turns staying and circling same area I have it on security camera's that record 24/7
2017,4,19,21,45,Cobourg (Canada),Light,"Two ""satellites"" traving S in tandem, then reversing direction and travelling north in tandem, then diverging."
2017,4,19,20,50,Garden City,Sphere,Five bright orange orbs appear quietly over water not far from shore.  ((anonymous report))
2017,4,19,20,50,North Myrtle Beach,Light,Orange Orbs Spotted Over North Myrtle Beach...AGAIN!
2017,4,19,20,30,Surfside Beach,Circle,"Single orb over ocean, moved north, 5 orbs formed behind, followed then disappeared; sixth orb formed slightly south, then disappeared."
2017,4,19,20,10,Chiba City (Japan),Unknown,I saw a fast pretty round object from the other end of the horizon to the other for like 2-4 seconds and it's well hidden in the clouds
2017,4,19,8,49,Gray,Unknown,UFO hovered above my house I could see the basic shape but had some sort of reflective outer shell. ((anonymous report))
2017,4,19,8,16,Cape Girardeau,Sphere,"On Wed., April 19th, 2017, at approximately 8:16 a.m. in Cape Girardeau Missouri, I was looking to the Northeastern Sky at about the"
2017,4,19,2,53,Garden City,Changing,Strange light over the Atlantic.
2017,4,19,0,40,Holiday Island,Light,Watching two lights doing what I would call dancing and playing with each other.  ((NUFORC Note:  Sighting of stars??  PD))
2017,4,18,0,0,Omaha,Circle,"I witnessed an flying circle floating low, then started going high into the air as it kept moving.  ((anonymous report))"
2017,4,18,22,50,Long Beach,Oval,"Green oval turns colors, hovers, moves around fast, then disappears."
2017,4,18,22,20,Uniontown/Kent,Changing,I had been on the road for about 5-6 minutes after leaving the Kent campus when I saw the ufo.
2017,4,18,22,0,Smithfield,Circle,Me and my wife was setting out side at 10 pm and seen two lights look like stars but was moving really fast and then slow vanished in t
2017,4,18,22,0,Warren,Triangle,((HOAX??)) Triangular moving quickly over Warren RI and turned around when it was spotted.
2017,4,18,21,45,Cottage Grove & Madison,Triangle,"Large and very fast, triangle/boomerang shape with a bright white light in middle and blue and red light blinking"
2017,4,18,21,32,Warminster,Unknown,"Ufo videos, changing lights and moving short distances back and forth  ((NUFORC Note:  Sighting of Jupiter?  PD))"
2017,4,18,20,30,Albuquerque,Cross,It was a black cross that was about 500' away flying slow and totally silent
2017,4,18,20,0,Los Angeles,Formation,"I was driving down the street when i came to a red light. I took my phone out ,stuck it out the window and took pictures of a building"
2017,4,18,16,0,Bermuda & Florida coast (between),Cone,"Strange phenomenom, way up in the air."
2017,4,18,14,30,New York City (upper West Side),Teardrop,"Possible NYC UFO Upper West Side, two sightings separated by four hours."
2017,4,18,12,0,Los Angeles,Triangle,"Hollywood Hills above L.A., CA..  One ship split into 2 ships total of 3 ships triangle red an green lights..  ((anonymous report))"
2017,4,18,2,0,Louisville,Light,"Erratic moving craft seen apx 2:00, unlike any common aircraft i see on a daily basis.."
2017,4,18,1,0,Sherman Oaks,Triangle,Silent aircraft flying in formation at night without nav lights.  ((anonymous report))
2017,4,18,0,0,Columbia,Unknown,"Large object (larger than a C-130), Unbelievable Speeds, Bright White light that shifts into different color lights, No Sound"
2017,4,17,23,15,Grant,Formation,"String of lights in sky staying stationary, then disappearing.  ((anonymous report))"
2017,4,17,22,30,Slidell,Circle,"Bright twinkling lights in the sky over Slidell, LA."
2017,4,17,22,0,Sugarland,Sphere,"~22:00, I was walking home and looked towards the sky to see what I thought was an airplane.  ((anonymous report))"
2017,4,17,21,30,Ropar (Punjab; India),Other,"me,my wife and our son3.5 years old we all were on bike and suddenly my son starts saying plane in the sky the we saw that the light wa"
2017,4,17,21,30,Portsmouth,Light,Observed three amber lights in formation coming from southeast towards northwest.  Four additional lights were observed following at ra
2017,4,17,21,15,Ricetown,Light,"Lights; Daniel Boone National Forest, Owsley County."
2017,4,17,21,0,South Bend,Sphere,"About 10 red lights rising in the sky, appeared to maneuver - second sighting in five years, same part of the sky."
2017,4,17,20,50,Seymour,Circle,Two orange ring shaped objects flying overhead
2017,4,17,19,28,Gilbert,Cigar,Red/orbs San Tan peak/jet engine facility.
2017,4,17,16,30,Dover,Unknown,Airplane vanished and reappeared while hovering
2017,4,17,10,10,Anaheim,Fireball,Red orb spotted in daytime in Anaheim.
2017,4,17,6,5,Vallejo,Unknown,Red flare like light descending in the sky
2017,4,17,4,56,Jefferson,Light,"South of I-85 near Jefferson, GA, I saw a bright light fall from sky; no sound."
2017,4,17,4,40,Sylvester,Light,"A very bright green light shot across the sky, not very high in the sky.  ((anonymous report))"
2017,4,17,3,58,Jasper,Flash,Large blue-green flash of light that turned white then sped up and flew across the sky and disappeared
